"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 14:15:20 GMT 2024","Sat Jul 27 14:15:21 GMT 2024","478","chromium","auth.spec.ts","Негативные сценарии авторизации","","","Авторизация от незарегистрированного пользователя","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:15:18 GMT 2024","Sat Jul 27 14:15:19 GMT 2024","423","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Проверка отображения страницы регистрация/авторизация","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:15:19 GMT 2024","Sat Jul 27 14:15:20 GMT 2024","707","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Успешная авторизация","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:15:20 GMT 2024","Sat Jul 27 14:15:20 GMT 2024","346","chromium","auth.spec.ts","Негативные сценарии авторизации","","","Авторизация с незаполненными полями","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:15:19 GMT 2024","Sat Jul 27 14:15:19 GMT 2024","319","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Проверка отображения полей авторизации","Позитивные и негативные проверки на странице авторизации"
